timestamp,category,name,slug,version_id,version_number,version_type,file_name,file_url,dest_path,status,message
2025-12-23T20:12:01.552543+00:00,client,JEI,jei,MdKE2PdF,15.20.0.128,beta,jei-1.20.1-forge-15.20.0.128.jar,https://cdn.modrinth.com/data/u6dRKJwZ/versions/MdKE2PdF/jei-1.20.1-forge-15.20.0.128.jar,C:\Users\ibras\PycharmProjects\new_sborka_mine\mods\client\jei-1.20.1-forge-15.20.0.128.jar,skipped,file exists
2025-12-23T20:12:02.424184+00:00,client,Jade,jade,LecuGude,11.13.2+forge,release,Jade-1.20.1-Forge-11.13.2.jar,https://cdn.modrinth.com/data/nvQzSEkH/versions/LecuGude/Jade-1.20.1-Forge-11.13.2.jar,C:\Users\ibras\PycharmProjects\new_sborka_mine\mods\client\Jade-1.20.1-Forge-11.13.2.jar,skipped,file exists
2025-12-23T20:12:02.722498+00:00,client,JEI,jei,MdKE2PdF,15.20.0.128,beta,jei-1.20.1-forge-15.20.0.128.jar,https://cdn.modrinth.com/data/u6dRKJwZ/versions/MdKE2PdF/jei-1.20.1-forge-15.20.0.128.jar,C:\Users\ibras\PycharmProjects\new_sborka_mine\mods\client\jei-1.20.1-forge-15.20.0.128.jar,downloaded,
2025-12-23T20:12:03.027476+00:00,client,Embeddium,embeddium,UTbfe5d1,0.3.31+mc1.20.1,release,embeddium-0.3.31+mc1.20.1.jar,https://cdn.modrinth.com/data/sk9rgfiA/versions/UTbfe5d1/embeddium-0.3.31%2Bmc1.20.1.jar,C:\Users\ibras\PycharmProjects\new_sborka_mine\mods\client\embeddium-0.3.31+mc1.20.1.jar,skipped,file exists
2025-12-23T20:12:03.242538+00:00,client,Jade,jade,LecuGude,11.13.2+forge,release,Jade-1.20.1-Forge-11.13.2.jar,https://cdn.modrinth.com/data/nvQzSEkH/versions/LecuGude/Jade-1.20.1-Forge-11.13.2.jar,C:\Users\ibras\PycharmProjects\new_sborka_mine\mods\client\Jade-1.20.1-Forge-11.13.2.jar,skipped,file exists
2025-12-23T20:12:03.580690+00:00,client,Oculus,oculus,iQ1SwGc3,1.20.1-1.8.0,release,oculus-mc1.20.1-1.8.0.jar,https://cdn.modrinth.com/data/GchcoXML/versions/iQ1SwGc3/oculus-mc1.20.1-1.8.0.jar,C:\Users\ibras\PycharmProjects\new_sborka_mine\mods\client\oculus-mc1.20.1-1.8.0.jar,skipped,file exists
2025-12-23T20:12:03.829372+00:00,client,Embeddium,embeddium,UTbfe5d1,0.3.31+mc1.20.1,release,embeddium-0.3.31+mc1.20.1.jar,https://cdn.modrinth.com/data/sk9rgfiA/versions/UTbfe5d1/embeddium-0.3.31%2Bmc1.20.1.jar,C:\Users\ibras\PycharmProjects\new_sborka_mine\mods\client\embeddium-0.3.31+mc1.20.1.jar,skipped,file exists
2025-12-23T20:12:04.129288+00:00,client,FerriteCore,ferrite-core,DG5Fn9Sz,6.0.1,release,ferritecore-6.0.1-forge.jar,https://cdn.modrinth.com/data/uXXizFIs/versions/DG5Fn9Sz/ferritecore-6.0.1-forge.jar,C:\Users\ibras\PycharmProjects\new_sborka_mine\mods\client\ferritecore-6.0.1-forge.jar,skipped,file exists
2025-12-23T20:12:04.373613+00:00,client,Oculus,oculus,iQ1SwGc3,1.20.1-1.8.0,release,oculus-mc1.20.1-1.8.0.jar,https://cdn.modrinth.com/data/GchcoXML/versions/iQ1SwGc3/oculus-mc1.20.1-1.8.0.jar,C:\Users\ibras\PycharmProjects\new_sborka_mine\mods\client\oculus-mc1.20.1-1.8.0.jar,skipped,file exists
2025-12-23T20:12:04.885935+00:00,client,FerriteCore,ferrite-core,DG5Fn9Sz,6.0.1,release,ferritecore-6.0.1-forge.jar,https://cdn.modrinth.com/data/uXXizFIs/versions/DG5Fn9Sz/ferritecore-6.0.1-forge.jar,C:\Users\ibras\PycharmProjects\new_sborka_mine\mods\client\ferritecore-6.0.1-forge.jar,skipped,file exists
